Date, Open, High, Low, Close
10/25/19, 6699.1, 6741.5, 6698.4, 6739.2
10/24/19, 6682.4, 6715.2, 6682.0, 6693.6
10/23/19, 6670.0, 6673.2, 6635.7, 6673.1
10/22/19, 6659.1, 6680.4, 6648.3, 6672.2
10/21/19, 6643.5, 6652.5, 6612.4, 6652.5
10/18/19, 6682.8, 6683.2, 6633.9, 6649.7
10/17/19, 6730.5, 6737.4, 6681.4, 6684.7
10/16/19, 6660.0, 6737.8, 6659.7, 6736.5
10/15/19, 6637.0, 6657.4, 6621.9, 6652.0
10/14/19, 6622.5, 6676.2, 6622.5, 6642.6
10/11/19, 6564.3, 6614.6, 6564.3, 6606.8
10/10/19, 6546.1, 6570.9, 6529.3, 6547.1
10/09/19, 6580.3, 6580.3, 6520.3, 6546.7
10/08/19, 6569.2, 6601.2, 6567.4, 6593.4
10/07/19, 6526.3, 6564.9, 6525.5, 6563.6
10/04/19, 6498.1, 6532.7, 6489.9, 6517.1
10/03/19, 6614.7, 6614.9, 6475.4, 6493.0
10/02/19, 6729.6, 6729.6, 6639.8, 6639.9
10/01/19, 6688.6, 6743.7, 6687.8, 6742.8
09/30/19, 6715.9, 6734.7, 6688.3, 6688.3
09/27/19, 6681.6, 6721.2, 6681.6, 6716.1
09/26/19, 6715.4, 6720.8, 6667.1, 6677.6
09/25/19, 6736.4, 6736.4, 6696.3, 6710.2
09/24/19, 6747.6, 6764.0, 6745.3, 6748.9
09/23/19, 6732.4, 6770.0, 6732.4, 6749.7
09/20/19, 6719.0, 6775.6, 6719.0, 6730.8
09/19/19, 6686.3, 6742.9, 6686.3, 6717.5
09/18/19, 6693.8, 6703.3, 6673.8, 6681.6
09/17/19, 6664.0, 6695.3, 6649.1, 6695.3
09/16/19, 6688.1, 6688.5, 6646.6, 6673.5
09/13/19, 6659.2, 6676.5, 6653.7, 6669.2
09/12/19, 6646.9, 6687.4, 6642.6, 6654.9
09/11/19, 6621.7, 6638.4, 6615.6, 6638.0
09/10/19, 6654.8, 6654.8, 6595.7, 6614.1
09/09/19, 6643.4, 6659.7, 6631.2, 6648.0
09/06/19, 6619.6, 6656.1, 6619.6, 6647.3
09/05/19, 6553.8, 6622.8, 6551.0, 6613.2
09/04/19, 6559.0, 6559.0, 6503.9, 6553.0
09/03/19, 6578.5, 6591.3, 6554.3, 6573.4
09/02/19, 6604.8, 6604.8, 6558.3, 6579.4
08/30/19, 6519.4, 6612.1, 6519.4, 6604.2
08/29/19, 6505.0, 6510.9, 6475.5, 6507.4
08/28/19, 6469.8, 6502.0, 6462.0, 6500.6
08/27/19, 6445.8, 6483.1, 6439.2, 6471.2
08/26/19, 6489.1, 6489.1, 6409.8, 6440.1
08/23/19, 6497.0, 6529.2, 6495.3, 6523.1
08/22/19, 6486.2, 6521.3, 6485.3, 6501.8
08/21/19, 6524.8, 6524.8, 6466.6, 6483.3
08/20/19, 6470.5, 6545.0, 6470.5, 6545.0
08/19/19, 6415.0, 6468.4, 6415.0, 6467.4
08/16/19, 6407.3, 6425.3, 6396.0, 6405.5
08/15/19, 6568.2, 6568.2, 6405.6, 6408.1
08/14/19, 6580.1, 6600.7, 6555.9, 6595.9
08/13/19, 6586.4, 6593.3, 6558.5, 6568.5
